expiry,role,option,contracts,dollar_mid_value,dollar_entry_cash_required,dollar_halfspread_cost,dollar_forward_delta,dollar_vega_per_point,dollar_forward_gamma
2026-10-16,target,SPXW261016C07625000,1.0,13614.999999999998,13669.999999999998,54.999999999999716,50.645580855769865,944.8444536416898,0.11576438194008465
2026-10-16,put_hedge,SPXW261016P07395000,0.3993511860848839,2897.2928550458323,2915.2636584196525,17.970803373819887,-11.034901712811928,316.99181198468796,0.032243310106930635
2026-10-16,call_hedge,SPXW261016C07855000,-1.7879223762069036,-6490.15822563106,-6418.641330582784,71.51689504827652,-39.610679142957935,-1261.836265626378,-0.1829998118088627
2026-11-06,target,SPXW261106P07640000,1.0,17614.999999999996,17720.0,104.99999999999972,-48.352476290329555,1191.939823519524,0.08866103035582733
2026-11-06,put_hedge,SPXW261106P07425000,-1.3184867225369528,-14615.42531932212,-14503.35394790648,112.07137141564117,42.168694366236075,-1412.8345510079378,-0.09153584101128623
2026-11-06,call_hedge,SPXW261106C07875000,0.2170478506564434,1466.1582311842753,1484.6072984900727,18.44906730579772,6.183781924093476,220.8947274884139,0.01884102629510062
2026-12-18,target,SPXW261218C07670000,1.0,23670.0,23750.0,79.99999999999972,50.93426282197871,1571.5587617130698,0.06558810225808305
2026-12-18,put_hedge,SPXW261218P07440000,0.19762741610992335,3252.9472691693386,3264.804914135934,11.85764496659529,-6.822949000635131,288.25408429861307,0.010714141739306321
2026-12-18,call_hedge,SPXW261218C07900000,-1.2735994140599678,-15480.60087789891,-15397.816915985011,82.78396191389773,-44.11131382134358,-1859.8128460116827,-0.08614429911674394
2026-12-31,target,SPXW261231P07680000,1.0,25010.000000000004,25090.0,79.99999999999972,-47.663706741332604,1671.7154582742226,0.06182448594037762
2026-12-31,put_hedge,SPXW261231P07450000,-1.2181624704772558,-21512.749228628338,-21464.022729809247,48.72649881909093,42.49866546144439,-1898.7632581237717,-0.06285598452792895
2026-12-31,call_hedge,SPXW261231C07910000,0.14439867380490978,1951.5480764733559,1960.9339902706752,9.385913797319219,5.16504127988822,227.04779984954905,0.009267711315768158
